name,landmass,image,area,colours,red ,green,blue,gold,white,black,orange ,mainhue
Afghanistan,5,https://upload.wikimedia.org/wikipedia/commons/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg,648,5,1,1,0,1,1,1,0,green
Albania,3,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,29,3,1,0,0,1,0,1,0,red
Algeria,4,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2388,3,1,1,0,0,1,0,0,green
American-Samoa,6,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg,0,5,1,0,1,1,1,0,1,blue
Angola,4,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,1247,3,1,0,0,1,0,1,0,red
Anguilla,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg,0,3,0,0,1,0,1,0,1,white
Antigua-Barbuda,1,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,0,5,1,0,1,1,1,1,0,red
Argentina,2,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2777,2,0,0,1,0,1,0,0,blue
Australia,6,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,7690,3,1,0,1,0,1,0,0,blue
Austria,3,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,84,2,1,0,0,0,1,0,0,red
Bahamas,1,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,19,3,0,0,1,1,0,1,0,blue
Bahrain,5,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,1,2,1,0,0,0,1,0,0,red
Bangladesh,5,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,143,2,1,1,0,0,0,0,0,green
Barbados,1,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg,0,3,0,0,1,1,0,1,0,blue
Belgium,3,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg,31,3,1,0,0,1,0,1,0,gold
Belize,1,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,23,8,1,1,1,1,1,1,1,blue
Benin,4,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,113,2,1,1,0,0,0,0,0,green
Bermuda,1,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg,0,6,1,1,1,1,1,1,0,red
Bhutan,5,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,47,4,1,0,0,0,1,1,1,orange
Bolivia,2,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Bolivia_%28state%29.svg,1099,3,1,1,0,1,0,0,0,red
Bosnia-Herzegovina,3,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif,51,3,0,0,1,1,1,0,0,blue
Botswana,4,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,600,3,0,0,1,0,1,1,0,blue
Brazil,2,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,8512,4,0,1,1,1,1,0,0,green
British-Virgin-Isles,1,https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg,0,6,1,1,1,1,1,0,1,blue
Brunei,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg,6,4,1,0,0,1,1,1,0,gold
Bulgaria,3,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,111,5,1,1,1,1,1,0,0,red
Burkina,4,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,274,3,1,1,0,1,0,0,0,red
Burma,5,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,678,3,1,0,1,0,1,0,0,red
Burundi,4,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,28,3,1,1,0,0,1,0,0,red
Cambodia,5,https://www.worldometers.info//img/flags/small/tn_cb-flag.gif,181,4,1,0,1,0,1,1,0,blue
Cameroon,4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,474,3,1,1,0,1,0,0,0,gold
Canada,1,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg,9976,2,1,0,0,0,1,0,0,red
Cape-Verde-Islands,4,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg,4,5,1,1,0,1,0,1,1,gold
Cayman-Islands,1,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg,0,6,1,1,1,1,1,0,1,blue
Central-African-Republic,4,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,623,5,1,1,1,1,1,0,0,gold
Chad,4,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,1284,3,1,0,1,1,0,0,0,gold
Chile,2,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,757,3,1,0,1,0,1,0,0,red
China,5,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,9561,2,1,0,0,1,0,0,0,red
Colombia,2,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,1139,3,1,0,1,1,0,0,0,gold
Comorro-Islands,4,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,2,2,0,1,0,0,1,0,0,green
Congo,4,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg,342,3,1,1,0,1,0,0,0,red
Cook-Islands,6,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg,0,4,1,0,1,0,1,0,0,blue
Costa-Rica,1,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg,51,3,1,0,1,0,1,0,0,blue
Croatia ,3,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif,56,5,1,0,1,1,1,1,0,red
Cuba,1,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,115,3,1,0,1,0,1,0,0,blue
Cyprus,3,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,9,3,0,1,0,1,1,0,0,white
Czechoslovakia,3,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,128,3,1,0,1,0,1,0,0,white
Denmark,3,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,43,2,1,0,0,0,1,0,0,red
Djibouti,4,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,22,4,1,1,1,0,1,0,0,blue
Dominica,1,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,0,6,1,1,1,1,1,1,0,green
Dominican-Republic,1,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,49,3,1,0,1,0,1,0,0,blue
Ecuador,2,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,284,3,1,0,1,1,0,0,0,gold
Egypt,4,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,1001,4,1,0,0,1,1,1,0,black
El-Salvador,1,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,21,2,0,0,1,0,1,0,0,blue
Equatorial-Guinea,4,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg,28,4,1,1,1,0,1,0,0,green
Eswatini,4,https://www.worldometers.info//img/flags/small/tn_wz-flag.gif,17,5,1,0,1,1,1,1,0,blue
Ethiopia,4,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,1222,3,1,1,0,1,0,0,0,green
Faeroes,3,https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg,1,3,1,0,1,0,1,0,0,white
Falklands-Malvinas,2,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_Falkland_Islands.svg,12,6,1,1,1,1,1,0,0,blue
Fiji,6,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,18,7,1,1,1,1,1,0,1,blue
Finland,3,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,337,2,0,0,1,0,1,0,0,white
France,3,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,547,3,1,0,1,0,1,0,0,white
French-Guiana,2,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,91,3,1,0,1,0,1,0,0,white
French-Polynesia,6,https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg,4,5,1,0,1,1,1,1,0,red
Gabon,4,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,268,3,0,1,1,1,0,0,0,green
Gambia,4,https://en.wikipedia.org/wiki/File:Flag_of_The_Gambia.svg,10,4,1,1,1,0,1,0,0,red
Germany-DDR,3,https://upload.wikimedia.org/wikipedia/commons/a/a1/Flag_of_East_Germany.svg,108,3,1,0,0,1,0,1,0,gold
Germany-FRG,3,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,249,3,1,0,0,1,0,1,0,black
Ghana,4,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,239,4,1,1,0,1,0,1,0,red
Gibraltar,3,https://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg,0,3,1,0,0,1,1,0,0,white
Greece,3,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,132,2,0,0,1,0,1,0,0,blue
Greenland,1,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg,2176,2,1,0,0,0,1,0,0,white
Grenada,1,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,0,3,1,1,0,1,0,0,0,gold
Guam,6,https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg,0,7,1,1,1,1,1,0,1,blue
Guatemala,1,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,109,2,0,0,1,0,1,0,0,blue
Guinea,4,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,246,3,1,1,0,1,0,0,0,gold
Guinea-Bissau,4,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,36,4,1,1,0,1,0,1,0,gold
Guyana,2,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,215,5,1,1,0,1,1,1,0,green
Haiti,1,https://www.worldometers.info//img/flags/small/tn_ha-flag.gif,28,2,1,0,0,0,0,1,0,black
Honduras,1,https://www.worldometers.info//img/flags/small/tn_vt-flag.gif,112,2,0,0,1,0,1,0,0,blue
Hong-Kong,5,https://www.worldometers.info/img/flags/small/tn_hk-flag.gif,1,6,1,1,1,1,1,0,1,blue
Hungary,3,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif,93,3,1,1,0,0,1,0,0,red
Iceland,3,https://www.worldometers.info//img/flags/small/tn_ic-flag.gif,103,3,1,0,1,0,1,0,0,blue
India,5,https://www.worldometers.info//img/flags/small/tn_in-flag.gif,3268,4,0,1,1,0,1,0,1,orange
Indonesia,6,https://www.worldometers.info//img/flags/small/tn_id-flag.gif,1904,2,1,0,0,0,1,0,0,red
Iran,5,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif,1648,3,1,1,0,0,1,0,0,red
Iraq,5,https://www.worldometers.info//img/flags/small/tn_iz-flag.gif,435,4,1,1,0,0,1,1,0,red
Ireland,3,https://www.worldometers.info//img/flags/small/tn_ei-flag.gif,70,3,0,1,0,0,1,0,1,white
Israel,5,https://www.worldometers.info//img/flags/small/tn_is-flag.gif,21,2,0,0,1,0,1,0,0,white
Italy,3,https://www.worldometers.info//img/flags/small/tn_it-flag.gif,301,3,1,1,0,0,1,0,0,white
Ivory-Coast,4,https://www.worldometers.info/img/flags/iv-flag.gif,323,3,1,1,0,0,1,0,0,white
Jamaica,1,https://www.worldometers.info//img/flags/small/tn_jm-flag.gif,11,3,0,1,0,1,0,1,0,green
Japan,5,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif,372,2,1,0,0,0,1,0,0,white
Jordan,5,https://www.worldometers.info//img/flags/small/tn_jo-flag.gif,98,4,1,1,0,0,1,1,0,black
Kenya,4,https://www.worldometers.info//img/flags/small/tn_ke-flag.gif,583,4,1,1,0,0,1,1,0,red
Kiribati,6,https://www.worldometers.info//img/flags/small/tn_kr-flag.gif,0,4,1,0,1,1,1,0,0,red
Kuwait,5,https://www.worldometers.info//img/flags/small/tn_ku-flag.gif,18,4,1,1,0,0,1,1,0,green
Laos,5,https://www.worldometers.info//img/flags/small/tn_la-flag.gif,236,3,1,0,1,0,1,0,0,red
Lebanon,5,https://www.worldometers.info//img/flags/small/tn_le-flag.gif,10,4,1,1,0,0,1,0,1,red
Lesotho,4,https://www.worldometers.info//img/flags/small/tn_lt-flag.gif,30,4,1,1,1,0,1,0,0,blue
Liberia,4,https://www.worldometers.info//img/flags/small/tn_li-flag.gif,111,3,1,0,1,0,1,0,0,red
Libya,4,https://www.worldometers.info//img/flags/small/tn_ly-flag.gif,1760,1,0,1,0,0,0,0,0,green
Liechtenstein,3,https://www.worldometers.info//img/flags/small/tn_ls-flag.gif,0,3,1,0,1,1,0,0,0,red
Luxembourg,3,https://www.worldometers.info//img/flags/small/tn_lu-flag.gif,3,3,1,0,1,0,1,0,0,red
Madagascar,4,https://www.worldometers.info//img/flags/small/tn_ma-flag.gif,587,3,1,1,0,0,1,0,0,red
Malawi,4,https://www.worldometers.info//img/flags/small/tn_mi-flag.gif,118,3,1,1,0,0,0,1,0,red
Malaysia,5,https://www.worldometers.info//img/flags/small/tn_my-flag.gif,333,4,1,0,1,1,1,0,0,red
Maldive-Islands,5,https://www.worldometers.info//img/flags/small/tn_mv-flag.gif,0,3,1,1,0,0,1,0,0,red
Mali,4,https://www.worldometers.info//img/flags/small/tn_ml-flag.gif,1240,3,1,1,0,1,0,0,0,gold
Malta,3,https://www.worldometers.info//img/flags/small/tn_mt-flag.gif,0,3,1,0,0,0,1,1,0,red
Mauritania,4,https://www.worldometers.info//img/flags/small/tn_mr-flag.gif,1031,2,0,1,0,1,0,0,0,green
Mauritius,4,https://www.worldometers.info//img/flags/small/tn_mp-flag.gif,2,4,1,1,1,1,0,0,0,red
Mexico,1,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif,1973,4,1,1,0,0,1,0,1,green
Micronesia,6,https://www.worldometers.info//img/flags/small/tn_fm-flag.gif,1,2,0,0,1,0,1,0,0,blue
Monaco,3,https://www.worldometers.info//img/flags/small/tn_mn-flag.gif,0,2,1,0,0,0,1,0,0,red
Mongolia,5,https://www.worldometers.info//img/flags/small/tn_mg-flag.gif,1566,3,1,0,1,1,0,0,0,red
Montenegro ,3,https://www.worldometers.info//img/flags/small/tn_mj-flag.gif,13,5,1,1,1,1,0,0,1,red
Montserrat,1,https://www.worldometers.info/img/flags/small/tn_mh-flag.gif,0,7,1,1,1,1,1,1,0,blue
Morocco,4,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif,447,2,1,1,0,0,0,0,0,red
Mozambique,4,https://www.worldometers.info//img/flags/small/tn_mz-flag.gif,783,5,1,1,0,1,1,1,0,gold
Myanmar,5,https://www.worldometers.info//img/flags/small/tn_bm-flag.gif,261,0,1,1,0,1,1,0,0,gold
Nauru,6,https://www.worldometers.info//img/flags/small/tn_nr-flag.gif,0,3,0,0,1,1,1,0,0,blue
Nepal,5,https://www.worldometers.info//img/flags/small/tn_np-flag.gif,140,3,0,0,1,0,1,0,1,brown
Netherlands,3,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif,41,3,1,0,1,0,1,0,0,red
New-Zealand,6,https://www.worldometers.info//img/flags/small/tn_nz-flag.gif,268,3,1,0,1,0,1,0,0,blue
Nicaragua,1,https://www.worldometers.info//img/flags/small/tn_nu-flag.gif,128,2,0,0,1,0,1,0,0,blue
Niger,4,https://www.worldometers.info//img/flags/small/tn_ng-flag.gif,1267,3,0,1,0,0,1,0,1,orange
Nigeria,4,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif,925,2,0,1,0,0,1,0,0,green
North Macedonia,3,https://www.worldometers.info//img/flags/small/tn_mk-flag.gif,25,2,1,0,0,1,0,0,0,red
North-Korea,5,https://www.worldometers.info//img/flags/small/tn_kn-flag.gif,121,3,1,0,1,0,1,0,0,blue
Norway,3,https://www.worldometers.info//img/flags/small/tn_no-flag.gif,324,3,1,0,1,0,1,0,0,red
Oman,5,https://www.worldometers.info//img/flags/small/tn_mu-flag.gif,212,3,1,1,0,0,1,0,0,red
Pakistan,5,https://www.worldometers.info//img/flags/small/tn_pk-flag.gif,804,2,0,1,0,0,1,0,0,green
Palestine ,5,https://www.worldometers.info//img/flags/small/tn_palestine-flag.gif,6,4,1,1,0,0,1,1,0,black
Panama,2,https://www.worldometers.info//img/flags/small/tn_pm-flag.gif,76,3,1,0,1,0,1,0,0,red
Papua-New-Guinea,6,https://www.worldometers.info//img/flags/small/tn_pp-flag.gif,463,4,1,0,0,1,1,1,0,black
Parguay,2,https://www.worldometers.info//img/flags/small/tn_pa-flag.gif,407,6,1,1,1,1,1,1,0,red
Peru,2,https://www.worldometers.info//img/flags/small/tn_pe-flag.gif,1285,2,1,0,0,0,1,0,0,red
Philippines,6,https://www.worldometers.info//img/flags/small/tn_rp-flag.gif,300,4,1,0,1,1,1,0,0,blue
Poland,3,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif,313,2,1,0,0,0,1,0,0,white
Portugal,3,https://www.worldometers.info//img/flags/small/tn_po-flag.gif,92,5,1,1,1,1,1,0,0,red
Puerto-Rico,1,https://www.worldometers.info/img/flags/small/tn_rq-flag.gif,9,3,1,0,1,0,1,0,0,red
Qatar,5,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif,11,2,0,0,0,0,1,0,1,brown
Romania,3,https://www.worldometers.info//img/flags/small/tn_ro-flag.gif,237,7,1,1,1,1,1,0,1,red
Russia ,5,https://www.worldometers.info//img/flags/small/tn_rs-flag.gif,17098,3,1,0,1,0,1,0,0,white 
Rwanda,4,https://www.worldometers.info//img/flags/small/tn_rw-flag.gif,26,4,1,1,0,1,0,1,0,red
San-Marino,3,https://www.worldometers.info//img/flags/small/tn_sm-flag.gif,0,2,0,0,1,0,1,0,0,white
Sao-Tome,4,https://www.worldometers.info//img/flags/small/tn_tp-flag.gif,0,4,1,1,0,1,0,1,0,green
Saudi-Arabia,5,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif,2150,2,0,1,0,0,1,0,0,green
Senegal,4,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif,196,3,1,1,0,1,0,0,0,green
Serbia ,3,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif,88,4,1,0,1,1,1,0,0,white
Seychelles,4,https://www.worldometers.info//img/flags/small/tn_se-flag.gif,0,3,1,1,0,0,1,0,0,red
Sierra-Leone,4,https://www.worldometers.info//img/flags/small/tn_sl-flag.gif,72,3,0,1,1,0,1,0,0,green
Singapore,5,https://www.worldometers.info//img/flags/small/tn_sn-flag.gif,1,2,1,0,0,0,1,0,0,white
Slovenia ,3,https://www.worldometers.info//img/flags/small/tn_si-flag.gif,20,4,1,0,1,1,1,0,0,blue
Soloman-Islands,6,https://www.worldometers.info//img/flags/small/tn_bp-flag.gif,30,4,0,1,1,1,1,0,0,green
Somalia,4,https://www.worldometers.info//img/flags/small/tn_so-flag.gif,637,2,0,0,1,0,1,0,0,blue
South-Africa,4,https://www.worldometers.info//img/flags/small/tn_sf-flag.gif,1221,5,1,1,1,0,1,0,1,orange
South-Korea,5,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif,99,4,1,0,1,0,1,1,0,white
Spain,3,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif,505,2,1,0,0,1,0,0,0,red
Sri-Lanka,5,https://www.worldometers.info//img/flags/small/tn_ce-flag.gif,66,4,0,1,0,1,0,0,1,gold
St-Helena,4,https://www.worldometers.info/img/flags/small/tn_sh-flag.gif,0,7,1,1,1,1,1,0,1,blue
St-Kitts-Nevis,1,https://www.worldometers.info//img/flags/small/tn_sc-flag.gif,0,5,1,1,0,1,1,1,0,green
St-Lucia,1,https://www.worldometers.info//img/flags/small/tn_st-flag.gif,0,4,0,0,1,1,1,1,0,blue
St-Vincent,1,https://www.worldometers.info//img/flags/small/tn_vc-flag.gif,0,4,0,1,1,1,1,0,0,green
Sudan,4,https://www.worldometers.info//img/flags/small/tn_su-flag.gif,2506,4,1,1,0,0,1,1,0,red
Surinam,2,https://www.worldometers.info//img/flags/small/tn_ns-flag.gif,63,4,1,1,0,1,1,0,0,red
Sweden,3,https://www.worldometers.info//img/flags/small/tn_sw-flag.gif,450,2,0,0,1,1,0,0,0,blue
Switzerland,3,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif,41,2,1,0,0,0,1,0,0,red
Syria,5,https://www.worldometers.info//img/flags/small/tn_sy-flag.gif,185,4,1,1,0,0,1,1,0,red
Taiwan,5,https://www.worldometers.info/img/flags/tw-flag.gif,36,3,1,0,1,0,1,0,0,red
Tajikistan,5,https://www.worldometers.info//img/flags/small/tn_ti-flag.gif,143,4,1,1,0,1,1,0,0,red
Tanzania,4,https://www.worldometers.info//img/flags/small/tn_tz-flag.gif,945,4,0,1,1,1,0,1,0,green
Thailand,5,https://www.worldometers.info//img/flags/small/tn_th-flag.gif,514,3,1,0,1,0,1,0,0,red
Timor-Leste,5,https://www.worldometers.info//img/flags/small/tn_tt-flag.gif,5,4,1,0,0,1,1,1,0,red
Togo,4,https://www.worldometers.info//img/flags/small/tn_to-flag.gif,57,4,1,1,0,1,1,0,0,green
Tonga,6,https://www.worldometers.info//img/flags/small/tn_tn-flag.gif,1,2,1,0,0,0,1,0,0,red
Trinidad-Tobago,2,https://www.worldometers.info//img/flags/small/tn_td-flag.gif,5,3,1,0,0,0,1,1,0,red
Tunisia,4,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif,164,2,1,0,0,0,1,0,0,red
Turkey,5,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif,781,2,1,0,0,0,1,0,0,red
Turkmenistan ,5,https://www.worldometers.info//img/flags/small/tn_tx-flag.gif,189,4,1,1,0,1,1,0,0,green 
Turks-Cocos-Islands,1,https://www.worldometers.info/img/flags/tk-flag.gif,0,6,1,1,1,1,1,0,1,blue
Tuvalu,6,https://www.worldometers.info//img/flags/small/tn_tv-flag.gif,0,5,1,0,1,1,1,0,0,blue
UAE,5,https://www.worldometers.info//img/flags/small/tn_ae-flag.gif,84,4,1,1,0,0,1,1,0,green
Uganda,4,https://www.worldometers.info//img/flags/small/tn_ug-flag.gif,236,5,1,0,0,1,1,1,0,gold
UK,3,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif,245,3,1,0,1,0,1,0,0,red
Ukraine ,3,https://www.worldometers.info//img/flags/small/tn_up-flag.gif,603,2,0,0,1,1,0,0,0,blue
Uruguay,2,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif,178,3,0,0,1,1,1,0,0,white
USA,1,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,9363,3,1,0,1,0,1,0,0,white
US-Virgin-Isles,1,https://www.worldometers.info/img/flags/vq-flag.gif,0,6,1,1,1,1,1,0,0,white
Vanuatu,6,https://www.worldometers.info//img/flags/small/tn_nh-flag.gif,15,4,1,1,0,1,0,1,0,red
Venezuela,2,https://www.worldometers.info//img/flags/small/tn_ve-flag.gif,912,7,1,1,1,1,1,1,1,red
Vietnam,5,https://www.worldometers.info//img/flags/small/tn_vm-flag.gif,333,2,1,0,0,1,0,0,0,red
Western-Samoa,6,https://www.worldometers.info//img/flags/small/tn_ws-flag.gif,3,3,1,0,1,0,1,0,0,red
Yemen,5,https://www.worldometers.info//img/flags/small/tn_ym-flag.gif,455,3,1,0,0,0,1,1,0,red
Zambia,4,https://www.worldometers.info//img/flags/small/tn_za-flag.gif,753,4,1,1,0,0,0,1,1,green
Zimbabwe,4,https://www.worldometers.info//img/flags/small/tn_zi-flag.gif,391,5,1,1,0,1,1,1,0,green